batch,test,filename,R1,CPE1_T,CPE1_P,R2,Wo3_R,Wo3_T,W1_R
B01,Test_1,Hk_IFR14500_SoC_50_03-07-2023_20-49.csv,0.051906724162656945,1.1629402194887346,0.4785120858802313,0.032594583968411486,0.6636737218858811,947.9304433479828,6.903865865892614e-06
B01,Test_2,Hk_IFR14500_SoC_50_07-06-2023_21-04.csv,0.050390448857007795,1.102154683265521,0.4831482837424682,0.03299450514278341,8.396659268110286e-13,759.8667829298516,0.015337501602995346
B02,Test_1,Hk_IFR14500_SoC_50_28-04-2023_02-00.csv,0.03488151541151286,3.525163452046398,0.28610898282555236,0.04356916572408267,1.3769747886062051,2851.8867051686348,4.154175834632503e-35
B02,Test_2,Hk_IFR14500_SoC_50_29-06-2023_00-04.csv,0.04704533746722244,1.4440943272391935,0.5476073636225126,0.020702824342637854,0.26903822947816086,862.4384232477593,0.007882615072953543
B03,Test_1,Hk_IFR14500_SoC_50_06-07-2023_00-12.csv,0.026284789418712044,0.8896634836021696,0.2680920581988064,0.07438040436631992,0.4935652228959527,472.26715125318225,2.673217612809439e-16
B03,Test_2,Hk_IFR14500_SoC_50_09-06-2023_03-22.csv,0.020051967531609455,0.983544032238176,0.24157655363199462,0.08422321991215553,0.6975305356085003,836.0816682873308,7.719504571519981e-24
B04,Test_1,Hk_IFR14500_SoC_50_07-06-2023_21-04.csv,0.050390448857007795,1.102154683265521,0.4831482837424682,0.03299450514278341,8.396659268110286e-13,759.8667829298516,0.015337501602995346
B04,Test_2,Hk_IFR14500_SoC_50_09-06-2023_21-49.csv,0.04484204628044677,2.011591279671991,0.4063463156178267,0.032650122192521926,0.6459364298014926,854.8588047910683,1.7801114440740456e-21
B05,Test_1,Hk_IFR14500_SoC_50_01-03-2023_22-27.csv,0.038990047671310826,1.4973407592689787,0.4964430594066219,0.02883862652249839,0.6570270268799902,828.4618562901753,7.47921492971599e-06
B05,Test_2,Hk_IFR14500_SoC_50_27-03-2023_20-24.csv,0.03933084564479267,1.573833982037907,0.48514886063185314,0.029656510072624466,1.0520889663502482,2194.3826844635178,1.1729972572271534e-05
B06,Test_1,Hk_IFR14500_SoC_50_22-03-2023_20-03.csv,0.04234815470149939,1.0337979425490322,0.55166533617802,0.03096926019450515,0.4483892308045992,845.2468189386,0.0046062375881257426
B06,Test_2,Hk_IFR14500_SoC_50_28-03-2023_20-10.csv,0.043051996603431786,0.9256310694860558,0.5759467363898758,0.02849099452208479,0.4620685706706379,854.3609535246266,0.00428003371936551
B07,Test_1,Hk_IFR14500_SoC_50_04-03-2023_02-41.csv,0.04205099954956841,0.9244309597469837,0.5459927572380833,0.03182803869132615,0.4677449997454006,840.6582413124424,0.004437357770269363
B07,Test_2,Hk_IFR14500_SoC_50_29-03-2023_21-00.csv,0.0418628186190378,1.0206737374636845,0.5169772503433309,0.033466667866612926,0.4367550568261441,847.3997966246706,0.004973841288784998
B08,Test_1,Hk_IFR14500_SoC_50_23-03-2023_19-58.csv,0.044173393993339555,1.3032671758226646,0.4803267743467129,0.036307901464880506,0.6516314297067612,831.1955195244282,3.5989010199354814e-17
B08,Test_2,Hk_IFR14500_SoC_50_30-03-2023_19-54.csv,0.04483096404768057,1.1654550995721562,0.4959716578657406,0.03403720068190435,0.6337989058751599,830.3227430142892,1.8224639823595566e-09
B09,Test_1,Hk_IFR14500_SoC_50_10-03-2023_20-32.csv,0.04071026911071129,1.1747378732106963,0.5369953180083212,0.02880614947293666,0.39730021942987875,843.0944725882284,0.005927642090933883
B09,Test_2,Hk_IFR14500_SoC_50_31-03-2023_21-15.csv,0.0411901679778409,1.1845601741024179,0.5320036063611971,0.027973308463995,0.36307296451629595,826.6059773264427,0.006143417401364694
B10,Test_1,Hk_IFR14500_SoC_50_15-03-2023_19-05.csv,0.04259817116213582,1.070356876646348,0.5473121166901832,0.03057196880322226,0.42982979641646646,814.249890780784,0.005159365692147572
B10,Test_2,Hk_IFR14500_SoC_50_18-04-2023_23-01.csv,0.04019335935173268,1.6348386672220356,0.4399654638777544,0.035819938490924075,0.6568451114155409,842.194648099322,1.6582031899785183e-05
B11,Test_1,Hk_IFR14500_SoC_50_14-03-2023_19-25.csv,0.03923449471921539,1.654272376141933,0.4569768924187903,0.03304992980293374,0.6694127447412893,838.6227310105202,3.7145855555640967e-25
B11,Test_2,Hk_IFR14500_SoC_50_27-04-2023_01-16.csv,0.03977078352779735,1.9767391661168852,0.4324351858243014,0.032927386254399636,0.6588221332444621,841.4150942173319,4.767110419986852e-29
